Puzzle,Category,Date,Episode_Number,Round
THE BEST OF BOTH WORLDS,Phrase,5/14/18,#6806,R2
UNFORGETTABLE MARINE LIFE,Living Things,5/14/18,#6806,R3*
CHARACTER ACTOR,Show Biz,5/14/18,#6806,T3
GUYS WEARING TIES,Rhyme Time,5/14/18,#6806,R4
BOOMING BUSINESS,Thing,5/14/18,#6806,R5
HOODED JACKET,What Are You Wearing?,5/14/18,#6806,BR
THE HOLLYWOOD SIGN,Landmark,5/15/18,#6807,T1
DRESS REHEARSAL,Show Biz,5/15/18,#6807,T2
VELVETY LOUNGE CHAIR,Around the House,5/15/18,#6807,R1
LILY AND MOUSE PAD,Same Name,5/15/18,#6807,R2
SAILBOATS AND SPARKLING SEAS,Things,5/15/18,#6807,R3*
FINLAND & SWEDEN,On the Map,5/15/18,#6807,T3
IT FITS LIKE A GLOVE,Phrase,5/15/18,#6807,R4
ADORABLE GUINEA PIG,Living Thing,5/15/18,#6807,BR
FACTORY SHOWROOM,Place,5/16/18,#6808,T1
DALLAS TEXAS,On the Map,5/16/18,#6808,T2
RELATIONSHIPS PHYSICS MATH,It's Complicated,5/16/18,#6808,R1^
LOADED BAKED POTATO,Food & Drink,5/16/18,#6808,R2
NO SUCH THING AS A BAD MEAL,Phrase,5/16/18,#6808,R3*
CELEBRITY SIGHTING,Event,5/16/18,#6808,T3
THE GOLDEN GIRLS,80's TV Title,5/16/18,#6808,R4
QUART OF JUICE,Food & Drink,5/16/18,#6808,BR
MAKING A PURCHASE,What Are You Doing?,5/17/18,#6809,T1
COMMERCIAL ARCHITECT,Occupation,5/17/18,#6809,T2
I AM A MATERIAL GIRL,80's Song Lyrics,5/17/18,#6809,R1
SHOPS STORES & SUPERMARKETS,Same Letter,5/17/18,#6809,R2
SOUTHEAST OF MIAMI,Place,5/17/18,#6809,R3*
STRING INSTRUMENTS,Things,5/17/18,#6809,T3
MY DANCING SHOES,What Are You Wearing?,5/17/18,#6809,R4
SPECIAL EFFECTS,Show Biz,5/17/18,#6809,R5
OSHKOSH AND MILWAUKEE,On the Map,5/17/18,#6809,BR
SPENDING LOTS OF CASH,What Are You Doing?,5/18/18,#6810,T1
YOU MADE THE GRADE,Rhyme Time,5/18/18,#6810,T2
INSPIRING REAL-LIFE STORY,Thing,5/18/18,#6810,R1
CRUNCH LEISURE NOON HALF,What Time Is It?,5/18/18,#6810,R2^
PACIFIC ISLANDERS,People,5/18/18,#6810,R3*
MERYL STREEP,Proper Name,5/18/18,#6810,T3
THIS ONE IS A NO-BRAINER,Phrase,5/18/18,#6810,R4
EVENT PLANNER,Occupation,5/18/18,#6810,R5
HOWLING WOLVES,Living Things,5/18/18,#6810,BR
I'M PACKED AND READY TO GO,Phrase,5/21/18,#6811,T1
THE GREAT LAKES,On the Map,5/21/18,#6811,T2
YOU ARE MY SUNSHINE MY ONLY SUNSHINE,Song Lyrics,5/21/18,#6811,R1
JACKPOT SACK MARK ROAD,Hitting the _____,5/21/18,#6811,R2^
FINS AND A SNORKEL MASK,Things,5/21/18,#6811,R3*
BUMPER POOL,Fun & Games,5/21/18,#6811,T3
CIRCUS PERFORMERS,People,5/21/18,#6811,R4
RISING TO THE OCCASION,What Are You Doing?,5/21/18,#6811,R5
DAVENPORT IOWA,On the Map,5/21/18,#6811,BR
SEIZING THE MOMENT,What Are You Doing?,5/22/18,#6812,T1
BASEBALL SEASON,Fun & Games,5/22/18,#6812,T2
TURN OFF ALL YOUR DEVICES,Phrase,5/22/18,#6812,R1
COLD BEER ON TAP DANCERS,Before & After,5/22/18,#6812,R2
ASTONISHING WILDLIFE,Living Things,5/22/18,#6812,R3*
ATHENS GREECE,On the Map,5/22/18,#6812,T3
WHAT A FEELING,80's Song Lyrics,5/22/18,#6812,R4
ORDERING APPETIZERS,What Are You Doing?,5/22/18,#6812,BR
RENTING A CAR,What Are You Doing?,5/23/18,#6813,T1
MEMPHIS TENNESSEE,On the Map,5/23/18,#6813,T2
HIGH SCHOOL DEBATE TEAM,People,5/23/18,#6813,R1
PLIERS WRENCH SAW FILE,In My Toolbox,5/23/18,#6813,R2^
PEACEFUL OASIS,Place,5/23/18,#6813,R3*
BACKUP SINGERS,Show Biz,5/23/18,#6813,T3
DID YOU GET THE MEMO?,Phrase,5/23/18,#6813,R4
HERD OF ELEPHANTS,Living Things,5/23/18,#6813,R5
PIPING HOT BROTH,Food & Drink,5/23/18,#6813,BR
MEETING NEW FRIENDS,What Are You Doing?,5/24/18,#6814,T1
ROLLERBLADING,Fun & Games,5/24/18,#6814,T2
FRENCH VANILLA ICE CREAM,Food & Drink,5/24/18,#6814,R1
MEMORY & EXPRESS LANE,Same Name,5/24/18,#6814,R2
NOWHERE ELSE I'D RATHER BE,Phrase,5/24/18,#6814,R3*
GOLDEN RETRIEVER,Living Thing,5/24/18,#6814,T3
GLACIER BAY ALASKA,On the Map,5/24/18,#6814,R4
QUACKING DUCKS,Living Things,5/24/18,#6814,BR
VACATION DESTINATION,Rhyme Time,5/25/18,#6815,T1
SPIDER MONKEY,Living Thing,5/25/18,#6815,T2
BOWL STICKS EGGS HOOK,Fish _____,5/25/18,#6815,R1^
SCRAPING THE BOTTOM OF THE BARREL,Phrase,5/25/18,#6815,R2
LOVELY WEATHER YEAR-ROUND,Event,5/25/18,#6815,R3*
ANIMAL SANCTUARY,Place,5/25/18,#6815,T3
BEATING THE ODDS,What Are You Doing?,5/25/18,#6815,R4
HOME RUN HITTER,Person,5/25/18,#6815,R5
MY FAVORITE CARDIGAN,What Are You Wearing?,5/25/18,#6815,BR
WE GO WAY BACK,Phrase,5/28/18,#6816,T1
DATA SCIENTIST,Occupation,5/28/18,#6816,T2
ONE IS THE LONELIEST NUMBER,Song Lyrics,5/28/18,#6816,R1
MERCURY JUPITER SATURN MARS,What Planet Are You From?,5/28/18,#6816,R2^
MAGNIFICENT HISTORIC RUINS,Things,5/28/18,#6816,R3*
WKRP IN CINCINNATI,80's TV Title,5/28/18,#6816,T3
RAVIOLI AND GUACAMOLE,Rhyme Time,5/28/18,#6816,R4
MAKING QUICK WORK OF IT,What Are You Doing?,5/28/18,#6816,BR
FOOTLONG HOT DOG,Food & Drink,5/29/18,#6817,T1
BUILDING INSPECTOR,Occupation,5/29/18,#6817,T2
IT'S TOO EARLY TO KNOW,Phrase,5/29/18,#6817,R1
DREAM EAGLE PIE IDOL,American _____,5/29/18,#6817,R2^
THE WARM JAMAICAN SUN,Thing,5/29/18,#6817,R3*
ENTERTAINMENT INDUSTRY,Show Biz,5/29/18,#6817,T3
RIDING A SKATEBOARD,Fun & Games,5/29/18,#6817,R4
A GROUP OF HEDGEHOGS,Living Things,5/29/18,#6817,BR
BALTIMORE MARYLAND,On the Map,5/30/18,#6818,T1
FAMILY ALBUM,Around the House,5/30/18,#6818,T2
GARLIC PUMPERNICKEL CORN RYE,More Bread Please,5/30/18,#6818,R1^
WASHINGTON CROSSING THE DELAWARE,Event,5/30/18,#6818,R2
HAVE YOU EVER BEEN TO MAUI?,Phrase,5/30/18,#6818,R3*
THE YOUNGER GENERATION,People,5/30/18,#6818,T3
UNWRITTEN RULES,Things,5/30/18,#6818,R4
WOKS AND PANS,In the Kitchen,5/30/18,#6818,BR
RICHMOND VIRGINIA,On the Map,5/31/18,#6819,T1
SAINT BERNARD,Living Thing,5/31/18,#6819,T2
THAT MAKES PERFECT SENSE,Phrase,5/31/18,#6819,R1
LEGENDARY LEADING LADIES,Same Letter,5/31/18,#6819,R2
UNPARALLELED VIEWS,Things,5/31/18,#6819,R3*
COMING-OF-AGE DRAMA,Show Biz,5/31/18,#6819,T3
FITNESS ENTHUSIAST,Person,5/31/18,#6819,R4
EGGS BENEDICT,Food & Drink,5/31/18,#6819,R5
MOVING BOXES,Around the House,5/31/18,#6819,BR
LET'S DIVE RIGHT IN,Phrase,6/1/18,#6820,T1
UNIVERSITY BOOKSTORE,Place,6/1/18,#6820,T2
FRESH BLUEBERRY CRUMB CAKE,Food & Drink,6/1/18,#6820,R1
BUSINESS SCHOOL OF FISH,Before & After,6/1/18,#6820,R2
GOING FOR A JOG ON THE BEACH,Fun & Games,6/1/18,#6820,R3*
ROCKING CHAIR,Around the House,6/1/18,#6820,T3
PRESIDENTIAL BIOGRAPHER,Person,6/1/18,#6820,R4
ANTIQUE HUTCH,Around the House,6/1/18,#6820,BR
GREAT CHAMPIONS,People,6/4/18,#6821,T1
STAGE LIGHTS,Show Biz,6/4/18,#6821,T2
TENNIS COURT JESTER,Before & After,6/4/18,#6821,R1
VENUS & SERENA WILLIAMS,Family,6/4/18,#6821,R2
A WORLD OF COMFORT AWAITS,Phrase,6/4/18,#6821,R3*
GROUNDSKEEPER,Occupation,6/4/18,#6821,T3
STRIPED TUBE SOCKS,What Are You Wearing?,6/4/18,#6821,R4
YOUNG JACKRABBIT,Living Thing,6/4/18,#6821,BR
BILLIE JEAN KING,Proper Name,6/5/18,#6822,T1
THE SOUTH OF FRANCE,On the Map,6/5/18,#6822,T2
REVERSIBLE WRISTBANDS,What Are You Wearing?,6/5/18,#6822,R1
REFRIED COFFEE SOY RED,_____ Beans,6/5/18,#6822,R2^
EXPERIENCES YOU WON'T SOON FORGET,Things,6/5/18,#6822,R3*
SONS AND DAUGHTERS,People,6/5/18,#6822,T3
IT'S HARD TO BELIEVE,Phrase,6/5/18,#6822,R4
WOODEN WINDOW SHUTTERS,Around the House,6/5/18,#6822,R5
HIGHLY GIFTED CHILD,Person,6/5/18,#6822,BR
MY TURN TO SERVE,Phrase,6/6/18,#6823,T1
ESCAPE ARTIST,Person,6/6/18,#6823,T2
TOURNAMENTS ANYONE NET SHOE,Tennis _____,6/6/18,#6823,R1^
HOMEMADE SPAGHETTI SAUCE,Food & Drink,6/6/18,#6823,R2
TRULY EXCEPTIONAL RESORT,Place,6/6/18,#6823,R3*
A NICE LONG WEEKEND,Event,6/6/18,#6823,T3
THE AUSTRALIAN OUTBACK,On the Map,6/6/18,#6823,R4
I GOOFED UP,Phrase,6/6/18,#6823,BR
LUCK OF THE DRAW,Phrase,6/7/18,#6824,T1
DOCUMENTARY FILM,Show Biz,6/7/18,#6824,T2
PUTTING ON THE FINISHING TOUCHES,What Are You Doing?,6/7/18,#6824,R1
BACKSWING BACKHAND BACKSPIN,Same Letter,6/7/18,#6824,R2
HAWAIIAN BARBECUE,Food & Drink,6/7/18,#6824,R3*
WHITE DAISIES,Living Things,6/7/18,#6824,T3
HUSTLE AND BUSTLE,Rhyme Time,6/7/18,#6824,R4
WACKY NEIGHBORS,People,6/7/18,#6824,BR
PLAYING DOUBLES,Fun & Games,6/8/18,#6825,T1
ARGENTINA & CHILE,On the Map,6/8/18,#6825,T2
GRILLED CORN ON THE COB,Food & Drink,6/8/18,#6825,R1
MONEY GUM LINT KEYS,In My Pocket,6/8/18,#6825,R2^
A CARIBBEAN HOT SPOT,Place,6/8/18,#6825,R3*
DESK CALENDAR,Thing,6/8/18,#6825,T3
EXCELLENT FOLLOW-THROUGH,Phrase,6/8/18,#6825,R4
BAGGAGE HANDLER,Occupation,6/8/18,#6825,BR
INSPIRING YOUNG MINDS,What Are You Doing?,9/10/18,#6826,T1
STUDY BUDDY,Rhyme Time,9/10/18,#6826,T2
DIDN'T YOU LEARN THIS LAST YEAR?,Phrase,9/10/18,#6826,R1
SNAP CRACKLE POP QUIZ,Before & After,9/10/18,#6826,R2
AMAZING ADVENTURES,Events,9/10/18,#6826,R3*
LAKE ONTARIO,On the Map,9/10/18,#6826,T3
SILENT READING TIME,Thing,9/10/18,#6826,R4
BAKING DISHES,In the Kitchen,9/10/18,#6826,BR
A NOBLE PROFESSION,Thing,9/11/18,#6827,T1
DANCE CHAPERONE,Person,9/11/18,#6827,T2
REFORM MIDDLE PREP OLD,_____ School,9/11/18,#6827,R1^
CONJUNCTION JUNCTION WHAT'S YOUR FUNCTION?,Classic TV,9/11/18,#6827,R2
LEGENDARY SURF SPOTS,Places,9/11/18,#6827,R3*
FAIR SHARE,Rhyme Time,9/11/18,#6827,T3
LOOK IT UP IN THE DICTIONARY,Phrase,9/11/18,#6827,R4
WORKING ON A SCREENPLAY,Show Biz,9/11/18,#6827,R5
QUITE A FEW,Phrase,9/11/18,#6827,BR
BE ON YOUR BEST BEHAVIOR,Phrase,9/12/18,#6828,T1
ROOFTOP GARDEN,Place,9/12/18,#6828,T2
STAPLER AND STAPLE REMOVER,Things,9/12/18,#6828,R1
TOKYO LONDON CAIRO OSLO,World Capitals,9/12/18,#6828,R2^
GLORIOUS SUNRISES,Events,9/12/18,#6828,R3*
ANT-MAN AND THE WASP,Movie Title,9/12/18,#6828,T3
GIVING A PEP TALK,What Are You Doing?,9/12/18,#6828,R4
BULKY PACKAGE,Thing,9/12/18,#6828,BR
END-OF-YEAR PROJECT,Thing,9/13/18,#6829,T1
TAG YOU'RE IT,Fun & Games,9/13/18,#6829,T2
DON'T KNOW MUCH ABOUT HISTORY,Song Lyrics,9/13/18,#6829,R1
BALLOT & PANDORA'S BOX,Same Name,9/13/18,#6829,R2
FLYING TO THE CARIBBEAN,Event,9/13/18,#6829,R3*
READY PLAYER ONE,Title,9/13/18,#6829,T3
FRANCE WINS WORLD CUP,Headline,9/13/18,#6829,R4
LIGHTWEIGHT BLAZER,What Are You Wearing?,9/13/18,#6829,BR
PATIENCE IS A VIRTUE,Phrase,9/14/18,#6830,T1
HELSINKI FINLAND,On the Map,9/14/18,#6830,T2
PARENT-TEACHER CONFERENCE,Event,9/14/18,#6830,R1
PENCIL APPLE TAPE PEN,On My Desk,9/14/18,#6830,R2^
ABUNDANT WILDLIFE,Living Things,9/14/18,#6830,R3*
BEAUTIFUL SMILE,Thing,9/14/18,#6830,T3
BE TRUE TO YOUR SCHOOL,Song Title,9/14/18,#6830,R4
ASPARAGUS SPEARS,Food & Drink,9/14/18,#6830,R5
SPELLING IT OUT,What Are You Doing?,9/14/18,#6830,R6
BLOWING A HUGE BUBBLE,Fun & Games,9/14/18,#6830,BR
HOLY MACKEREL!,Phrase,9/17/18,#6831,T1
PIPING HOT COFFEE,Food & Drink,9/17/18,#6831,T2
SCORING THE GAME-WINNING TOUCHDOWN,Fun & Games,9/17/18,#6831,R1
CANOE YACHT RAFT BOAT,On the Water,9/17/18,#6831,R2^
MARVELOUS SCENERY,Thing,9/17/18,#6831,R3*
A RIVER RUNS THROUGH IT,Title,9/17/18,#6831,T3
READING A BEST SELLER,What Are You Doing?,9/17/18,#6831,R4
YOU HAVE TO HURRY,Phrase,9/17/18,#6831,BR
GREEN AROUND THE GILLS,Phrase,9/18/18,#6832,T1
ATLANTIC SALMON,Living Thing,9/18/18,#6832,T2
YOU LIGHT UP MY LIFE JACKET,Before & After,9/18/18,#6832,R1
BATMAN'S SIDEKICK ROBIN,Character,9/18/18,#6832,R2
TAKING A RUM TASTING TOUR,What Are You Doing?,9/18/18,#6832,R3*
SWASHBUCKLERS,People,9/18/18,#6832,T3
HOMESTYLE RESTAURANT,Place,9/18/18,#6832,R4
CASH REGISTER,Thing,9/18/18,#6832,R5
JAZZ CLUBS,Places,9/18/18,#6832,BR
FRESH CATCH OF THE DAY,Food & Drink,9/19/18,#6833,T1
FROM SEA TO SHINING SEA,Song Lyrics,9/19/18,#6833,T2
TACKLE GEAR PERMIT TRIP,Fishing _____,9/19/18,#6833,R1^
MISSION: IMPOSSIBLE FALLOUT,Movie Title,9/19/18,#6833,R2
HIKING IN A RAIN FOREST,What Are You Doing?,9/19/18,#6833,R3*
YELLOWFIN TUNA,Living Thing,9/19/18,#6833,T3
HAPPY AS A CLAM,Phrase,9/19/18,#6833,R4
WINDOW BOXES,Around the House,9/19/18,#6833,BR
RAINBOW TROUT,Living Thing,9/20/18,#6834,T1
CHEESE AND CRACKERS,Food & Drink,9/20/18,#6834,T2
EARLY TO BED AND EARLY TO RISE,Quotation,9/20/18,#6834,R1
STEAM LOVE TUG SAIL,_____ Boat,9/20/18,#6834,R2^
EXCEPTIONALLY LUSH VALLEYS,Places,9/20/18,#6834,R3*
SNEAK PEEK,Rhyme Time,9/20/18,#6834,T3
WATERPROOF WADERS,What Are You Wearing?,9/20/18,#6834,R4
CHOPPING BLOCK,In the Kitchen,9/20/18,#6834,BR
CASTING A WIDE NET,What Are You Doing?,9/21/18,#6835,T1
MR. INCREDIBLE,Character,9/21/18,#6835,T2
THERE'S A FIRST TIME FOR EVERYTHING,Phrase,9/21/18,#6835,R1
I WOULDN'T HURT A FLY FISHERMAN,Before & After,9/21/18,#6835,R2
IDEAL SUNBATHING CONDITIONS,Things,9/21/18,#6835,R3*
BLUE MARLIN,Living Thing,9/21/18,#6835,T3
STANDING OVATION,Show Biz,9/21/18,#6835,R4
QUART OF ALMOND MILK,Food & Drink,9/21/18,#6835,BR
CALIFORNIA HERE I COME,Song Lyrics,9/24/18,#6836,T1
MINING FOR GOLD,What Are You Doing?,9/24/18,#6836,T2
HAND-CRANK ICE CREAM MAKER,In the Kitchen,9/24/18,#6836,R1
SUSHI BAR OF SOAP,Before & After,9/24/18,#6836,R2
TRUST ME YOU'RE GOING TO LOVE IT,Phrase,9/24/18,#6836,R3*
CLINT EASTWOOD,Proper Name,9/24/18,#6836,T3
COMFORTABLE JEANS,What Are You Wearing?,9/24/18,#6836,R4
GLAZED DOUGHNUTS,Food & Drink,9/24/18,#6836,R5
WHITE ORCHIDS,Living Things,9/24/18,#6836,BR
LOS ANGELES RAMS,Proper Name,9/25/18,#6837,T1
TO BE CONTINUED,Phrase,9/25/18,#6837,T2
DRIVE-THRU BURGER STAND,Place,9/25/18,#6837,R1
SNICKERDOODLE OATMEAL FIG OREO,Have A Cookie,9/25/18,#6837,R2^
COLLECTING SEASHELLS,Fun & Games,9/25/18,#6837,R3*
AVOCADO TOAST,Food & Drink,9/25/18,#6837,T3
EMMY NOMINATION,Show Biz,9/25/18,#6837,R4
OUT OF WHACK,Phrase,9/25/18,#6837,BR
GO WEST YOUNG MAN,Quotation,9/26/18,#6838,T1
TOSSING AND TURNING,What Are You Doing?,9/26/18,#6838,T2
PROFESSIONAL VOLLEYBALL PLAYER,Occupation,9/26/18,#6838,R1
BEEF & BEAN BURRITO,Same Letter,9/26/18,#6838,R2
WORLD-FAMOUS DESTINATION,Place,9/26/18,#6838,R3*
PACK OF COYOTES,Living Things,9/26/18,#6838,T3
MAKING MOVIES,Show Biz,9/26/18,#6838,R4
THE SHAPE OF THINGS TO COME,Phrase,9/26/18,#6838,R5
SWEET TOOTH,Thing,9/26/18,#6838,R6
SPICY GOULASH,Food & Drink,9/26/18,#6838,BR
GOLDEN STATE WARRIORS,Proper Name,9/27/18,#6839,T1
DAYDREAMING,What Are You Doing?,9/27/18,#6839,T2
REDWOODS HIGHWAY AREA TOWN,Coastal _____,9/27/18,#6839,R1^
COOKBOOKS AND RECIPE BOXES,In the Kitchen,9/27/18,#6839,R2
CHARMING FISHING VILLAGES,Places,9/27/18,#6839,R3*
MOVERS AND SHAKERS,People,9/27/18,#6839,T3
THE LATEST TRENDS,Things,9/27/18,#6839,R4
ORGANIC KALE AND SPINACH,Food & Drink,9/27/18,#6839,BR
THE BIG LEBOWSKI,Movie Title,9/28/18,#6840,T1
RYAN SEACREST,Proper Name,9/28/18,#6840,T2
HOLLYWOOD BUNGALOW,Place,9/28/18,#6840,R1
INTELLIGENCE FUR FLOWERS TURF,Artificial _____,9/28/18,#6840,R2^
SWIMMING IN NATURAL POOLS,Fun & Games,9/28/18,#6840,R3*
TELEVISION PERSONALITY,Show Biz,9/28/18,#6840,T3
GRILLING IN THE BACKYARD,What Are You Doing?,9/28/18,#6840,R4
FURNITURE DESIGNER,Occupation,9/28/18,#6840,R5
HIGH BIDDERS,People,9/28/18,#6840,BR
DOLLAR SIGNS,Things,10/1/18,#6841,T1
PURE AND SIMPLE,Phrase,10/1/18,#6841,T2
FASHION INDUSTRY INSIDER,Person,10/1/18,#6841,R1
TENNIS BOWLING TAP SNOW,If the Shoe Fits,10/1/18,#6841,R2^
INCREDIBLE NATIONAL PARKS,Places,10/1/18,#6841,R3*
STOCKHOLM SWEDEN,On the Map,10/1/18,#6841,T3
EATING AT THE FOOD COURT,What Are You Doing?,10/1/18,#6841,R4
GROUNDBREAKING CEREMONY,Event,10/1/18,#6841,R5
BOLIVIA AND PERU,On the Map,10/1/18,#6841,BR
THE PRICE IS NICE,Rhyme Time,10/2/18,#6842,T1
LET'S DO LUNCH,Phrase,10/2/18,#6842,T2
DOROTHY SCARECROW OZ TOTO,Off To See the Wizard,10/2/18,#6842,R1^
CREAM CHEESE CARROT CAKE MUFFINS,Food & Drink,10/2/18,#6842,R2
EXTRAVAGANT BEAUTY,Thing,10/2/18,#6842,R3*
ACCESSORIZING,What Are You Doing?,10/2/18,#6842,T3
MY BEST FRIEND,Person,10/2/18,#6842,R4
YORKSHIRE TERRIER,Living Thing,10/2/18,#6842,R5
PLAYING HOPSCOTCH,Fun & Games,10/2/18,#6842,BR
FACE MOISTURIZER,Around the House,10/3/18,#6843,T1
VIENNA AUSTRIA,On the Map,10/3/18,#6843,T2
ABSOLUTELY IRRESISTIBLE,Phrase,10/3/18,#6843,R1
DISH MAGAZINE BIKE HAT,_____ Rack,10/3/18,#6843,R2^
AN ECOLOGICAL OASIS,Place,10/3/18,#6843,R3*
BLUE BLAZER,What Are You Wearing?,10/3/18,#6843,T3
REWARDING MYSELF,What Are You Doing?,10/3/18,#6843,R4
BARBIE AND KEN,Characters,10/3/18,#6843,R5
MAPLE TAFFY,Food & Drink,10/3/18,#6843,BR
MEET ME AT THE MALL,Phrase,10/4/18,#6844,T1
THEATER DISTRICT,Place,10/4/18,#6844,T2
BRIDAL & COLD SHOWER,Same Name,10/4/18,#6844,R1
MY OWN PERSONAL STYLE,Thing,10/4/18,#6844,R2
ARRIVING AT THE AIRPORT,Event,10/4/18,#6844,R3*
SPA SLIPPERS,What Are You Wearing?,10/4/18,#6844,T3
GIRLS WITH CURLS,Rhyme Time,10/4/18,#6844,R4
BAMBOO STEAMER,In the Kitchen,10/4/18,#6844,R5
BIKING TO WORK,What Are You Doing?,10/4/18,#6844,BR
USING MY NEW CREDIT CARD,What Are You Doing?,10/5/18,#6845,T1
IN THE COPYRIGHT,Show Biz,10/5/18,#6845,T2
TO SPLURGE OR NOT TO SPLURGE,Phrase,10/5/18,#6845,R1
SHRIMP LOBSTER MILK RICE,I'm Steamed,10/5/18,#6845,R2^
ENDLESS STRETCHES OF SAND,Places,10/5/18,#6845,R3*
DOVER DELAWARE,On the Map,10/5/18,#6845,T3
GOLD HOOP EARRINGS,What Are You Wearing?,10/5/18,#6845,R4
VICTORY PARADE,Event,10/5/18,#6845,BR
COMPLETELY RELAXED,Phrase,10/8/18,#6846,T1
HUGH JACKMAN,Proper Name,10/8/18,#6846,T2
VANILLA YOGURT WITH BLUEBERRIES,Food & Drink,10/8/18,#6846,R1
TEMPERATURE HEAT WASH WRAP,Body _____,10/8/18,#6846,R2^
TRAVEL TIPS & TRICKS,Same Letter,10/8/18,#6846,R3*
ENGLISH LAVENDER,Living Thing,10/8/18,#6846,T3
RELEASING TENSION,What Are You Doing?,10/8/18,#6846,R4
COLORFUL CHARACTER,Person,10/8/18,#6846,R5
PORCELAIN GRAVY BOAT,Around the House,10/8/18,#6846,BR
MASSAGE ROOM,Place,10/9/18,#6847,T1
JENNIFER ANISTON,Proper Name,10/9/18,#6847,T2
NUTRITIOUS AND DELICIOUS,Rhyme Time,10/9/18,#6847,R1
COURTESY & MATING CALL,Same Name,10/9/18,#6847,R2
POPULAR TOURIST ATTRACTION,Thing,10/9/18,#6847,R3*
NEXT-DOOR NEIGHBOR,Person,10/9/18,#6847,T3
GETTING ALL THE ATTENTION,What Are You Doing?,10/9/18,#6847,R4
A PRETTY PENNY,Phrase,10/9/18,#6847,R5
GREYHOUND PUPPY,Living Thing,10/9/18,#6847,BR
BREATHE IN BREATHE OUT,Phrase,10/10/18,#6848,T1
RIP VAN WINKLE,Character,10/10/18,#6848,T2
TV DINNER RESERVATIONS,Before & After,10/10/18,#6848,R1
PIZZA WITH WHOLE GRAIN CRUST,Food & Drink,10/10/18,#6848,R2
UNWINDING & RECHARGING,What Are You Doing?,10/10/18,#6848,R3*
SENIOR PARTNER,Person,10/10/18,#6848,T3
JAPANESE PEACE LILY,Living Thing,10/10/18,#6848,R4
WALKING THE RED CARPET,Show Biz,10/10/18,#6848,R5
CAUSING AN UPROAR,What Are You Doing?,10/10/18,#6848,BR
HEALING AND WELLNESS,Things,10/11/18,#6849,T1
PAY IT FORWARD,Phrase,10/11/18,#6849,T2
CLEANSE SUPPLEMENTS OILS TEAS,Herbal _____,10/11/18,#6849,R1^
CATERPILLARS & BUTTERFLIES,Living Things,10/11/18,#6849,R2
PACKING MY BATHING SUIT,What Are You Doing?,10/11/18,#6849,R3*
CIRCLE OF FRIENDS,People,10/11/18,#6849,T3
REACHING THE FINISH LINE,Event,10/11/18,#6849,R4
PHOENIX AND FLAGSTAFF,On the Map,10/11/18,#6849,BR
LIVING A BALANCED LIFE,What Are You Doing?,10/12/18,#6850,T1
CERAMIC DINNERWARE,Around the House,10/12/18,#6850,T2
ONE DOZEN RAW OYSTERS,Food & Drink,10/12/18,#6850,R1
SPAGHETTI STEAK SOY HOT,Awesome Sauce,10/12/18,#6850,R2^
SQUIRREL MONKEYS,Living Things,10/12/18,#6850,R3*
BROADWAY ACTOR,Show Biz,10/12/18,#6850,T3
ICELAND AND GREENLAND,On the Map,10/12/18,#6850,R4
ON NEWSSTANDS NOW,Phrase,10/12/18,#6850,R5
MIGHTY FINE,Phrase,10/12/18,#6850,BR
A WALK IN THE WOODS,Event,10/15/18,#6851,T1
THE OREGON COAST,On the Map,10/15/18,#6851,T2
I'M SITTING ON TOP OF THE WORLD,Phrase,10/15/18,#6851,R1
BEAUTIFUL BABBLING BROOK,Same Letter,10/15/18,#6851,R2
BOUTIQUES & RESTAURANTS,Places,10/15/18,#6851,R3*
BAG OF TRAIL MIX,Food & Drink,10/15/18,#6851,T3
CHECKING MY CHECKLIST,What Are You Doing?,10/15/18,#6851,R4
DOUBLE DARE,Thing,10/15/18,#6851,R5
APRICOT JAM,Food & Drink,10/15/18,#6851,BR
PADDLING A CANOE,Fun & Games,10/16/18,#6852,T1
RAISE THE CURTAIN,Show Biz,10/16/18,#6852,T2
HOW DO YOU LIKE YOUR EGGS?,Phrase,10/16/18,#6852,R1
CHICKENS SHEEP HOGS COWS,Down On the Farm,10/16/18,#6852,R2^
A TRUE ISLAND PARADISE,Place,10/16/18,#6852,R3*
FLASHLIGHT BATTERIES,Things,10/16/18,#6852,T3
SURPRISING CONCLUSION,Event,10/16/18,#6852,R4
CHATTING ON THE PHONE,What Are You Doing?,10/16/18,#6852,R5
PAVILION IN THE PARK,Place,10/16/18,#6852,BR
WILDERNESS LODGE,Place,10/17/18,#6853,T1
LIVING ON THE EDGE,What Are You Doing?,10/17/18,#6853,T2
PUNCH WAIST HEAD HOT,_____ Line,10/17/18,#6853,R1^
HAM AND HASH BROWN POTATOES,Food & Drink,10/17/18,#6853,R2
PARROTFISH & NEEDLEFISH,Living Things,10/17/18,#6853,R3*
CHRISTOPHER ROBIN,Character,10/17/18,#6853,T3
SLY AS A FOX,Phrase,10/17/18,#6853,R4
BUYING A VEHICLE,Event,10/17/18,#6853,BR
GOING OFF THE GRID,What Are You Doing?,10/18/18,#6854,T1
FLYING A KITE,Fun & Games,10/18/18,#6854,T2
TENT POLE VAULT,Before & After,10/18/18,#6854,R1
WILD THING YOU MAKE MY HEART SING,Song Lyrics,10/18/18,#6854,R2
HAPPY TRAVELERS,People,10/18/18,#6854,R3*
CITY SLICKERS,Movie Title,10/18/18,#6854,T3
TIME WELL SPENT,Phrase,10/18/18,#6854,R4
